date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-02-18,23.1,74,1010.9,21.4,0.0,27.9,15.045833333333334,289.4166666666667,13.0125,5.395833333333333,86.5,64.45833333333333
2024-02-19,24.7,76,1009.8,26.5,0.0,44.53333333333333,17.837500000000002,254.3333333333333,8.979166666666666,3.7541666666666655,95.41666666666669,59.29166666666666
2024-02-20,23.5,75,1011.5,17.2,0.0,49.02916666666667,20.8,258.1666666666667,11.391666666666666,4.775,99.33333333333331,68.41666666666667
2024-02-21,23.4,70,1011.6,18.5,0.0,55.62916666666666,19.729166666666668,289.875,13.170833333333334,5.025,105.625,71.54166666666667
2024-02-22,23.2,40,1014.0,13.5,0.0,68.14583333333333,18.83333333333333,372.375,22.1375,8.058333333333334,84.75,64.625
2024-02-23,20.9,37,1015.9,10.6,0.0,87.1875,29.9125,636.75,36.74583333333333,14.75,86.20833333333333,90.20833333333331
2024-02-24,22.3,54,1015.0,10.9,0.0,64.53750000000001,19.2,338.875,17.829166666666666,10.091666666666669,98.125,77.83333333333333
2024-02-25,22.8,40,1014.7,14.1,0.0,53.19166666666666,23.245833333333334,478.25,26.48333333333333,13.5375,77.5,73.91666666666667
2024-02-26,23.3,29,1013.8,28.4,0.0,48.69166666666666,21.691666666666663,287.0833333333333,8.316666666666666,10.129166666666666,111.41666666666669,74.79166666666667
2024-02-27,21.5,47,1016.2,30.8,0.0,69.875,34.833333333333336,334.625,8.8375,12.4375,106.66666666666669,88.83333333333333
2024-02-28,23.0,41,1015.9,19.0,0.0,62.65833333333333,27.3875,386.0416666666667,13.5875,13.658333333333331,110.58333333333331,92.58333333333331
2024-02-29,24.0,42,1012.5,12.2,0.0,61.8375,23.575,401.9166666666667,16.979166666666668,13.058333333333332,106.66666666666669,87.45833333333333
2024-03-01,21.3,72,1011.4,10.1,7.4,63.49166666666667,25.383333333333336,445.125,21.8,9.029166666666669,88.04166666666667,79.16666666666667
2024-03-02,17.6,50,1012.6,23.1,0.0,83.39583333333333,21.016666666666666,240.25,8.9125,6.895833333333333,81.08333333333333,71.75
2024-03-03,16.0,39,1014.7,18.4,0.0,119.99166666666667,33.80416666666667,262.25,12.195833333333333,10.458333333333334,87.04166666666667,81.25
2024-03-04,17.5,46,1016.4,10.4,0.0,79.825,29.391666666666666,421.375,21.758333333333336,15.629166666666668,83.75,95.91666666666669
