date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2025-05-02,27.354166666666668,16.495833333333334,271.1666666666667,10.395833333333334,9.570833333333333,77.54166666666667,58.708333333333336
2025-05-03,31.308333333333334,17.333333333333332,305.0833333333333,14.925,11.845833333333331,80.95833333333333,62.083333333333336
2025-05-04,30.883333333333336,18.741666666666667,351.4583333333333,14.0625,11.095833333333331,82.45833333333333,62.208333333333336
2025-05-05,69.09166666666667,25.96666666666667,525.5,17.5125,14.516666666666666,84.375,68.58333333333333
2025-05-06,93.61666666666667,36.06666666666667,492.625,25.5625,21.879166666666663,83.16666666666667,100.91666666666669
2025-05-07,53.84166666666667,21.8875,397.125,15.641666666666666,21.22083333333333,74.66666666666667,88.58333333333333
2025-05-08,47.04583333333333,21.325,313.5416666666667,18.995833333333334,17.208333333333332,53.79166666666666,71.125
2025-05-09,70.41250000000001,28.429166666666664,341.0,16.466666666666665,18.016666666666666,63.16666666666666,76.91666666666667
2025-05-10,69.45,29.58333333333333,275.8333333333333,13.6,16.879166666666666,70.54166666666667,85.75
2025-05-11,77.57083333333334,33.90833333333333,259.2916666666667,10.458333333333334,13.245833333333332,77.08333333333333,88.29166666666667
2025-05-12,75.21249999999999,30.666666666666668,240.25,9.25,12.079166666666666,86.66666666666667,102.625
2025-05-13,37.4375,19.64583333333333,244.75,9.6875,12.2,85.41666666666667,72.375
2025-05-14,45.25833333333333,22.504166666666663,294.3333333333333,12.629166666666668,13.304166666666667,83.0,69.16666666666667
2025-05-15,44.94166666666666,21.754166666666663,314.8333333333333,15.566666666666668,13.670833333333334,80.66666666666667,73.25
2025-05-16,37.31666666666667,19.516666666666666,289.0,14.470833333333331,12.35,72.83333333333333,69.0
2025-05-17,37.87083333333333,18.4125,250.20833333333331,12.541666666666666,13.095833333333331,66.04166666666667,64.66666666666667
2025-05-18,33.737500000000004,16.883333333333333,256.0833333333333,11.8125,14.391666666666666,62.083333333333336,63.125
2025-05-19,40.04583333333333,18.475,222.625,11.391666666666666,13.004166666666668,58.125,60.25
2025-05-20,69.88333333333334,23.04583333333333,208.41666666666663,8.483333333333333,12.091666666666669,62.625,68.875
2025-05-21,105.09583333333336,27.40833333333333,218.95833333333331,8.9125,13.270833333333334,70.20833333333333,76.95833333333333
2025-05-22,83.22500000000001,22.941666666666663,221.79166666666663,10.1125,12.8875,65.29166666666667,80.45833333333333
2025-05-23,54.175,18.754166666666663,211.66666666666663,10.4625,11.433333333333332,64.83333333333333,68.70833333333333
2025-05-24,57.24583333333334,21.72083333333333,209.125,8.737499999999999,11.541666666666666,67.70833333333333,65.33333333333333
2025-05-25,68.5625,27.67083333333333,213.08333333333331,8.670833333333333,11.591666666666669,67.08333333333333,77.20833333333333
2025-05-26,62.32083333333333,28.39583333333333,222.375,10.029166666666669,12.158333333333331,67.33333333333333,84.95833333333333
2025-05-27,47.43333333333334,22.8625,211.83333333333331,8.291666666666666,10.675,66.54166666666667,79.0
2025-05-28,67.37916666666666,26.77916666666667,275.0833333333333,11.329166666666666,12.9125,75.5,76.58333333333333
2025-05-29,126.7875,33.958333333333336,386.5,12.829166666666666,12.7625,94.66666666666669,88.58333333333333
2025-05-30,149.11666666666665,38.17916666666667,256.9166666666667,9.083333333333334,7.695833333333333,97.95833333333331,104.5
2025-05-31,136.88333333333333,35.00416666666667,234.41666666666663,7.0625,8.3375,87.79166666666667,101.58333333333331
2025-06-01,141.975,36.333333333333336,289.375,9.583333333333334,9.345833333333331,83.0,98.25
2025-06-02,188.15833333333333,43.34166666666667,253.58333333333331,8.979166666666666,10.191666666666666,82.91666666666667,110.66666666666669
2025-06-03,90.02083333333333,29.6125,245.875,8.170833333333333,9.275,82.83333333333333,106.45833333333331
2025-06-04,84.20416666666667,29.2,217.625,8.666666666666666,11.15,77.0,91.0
2025-06-05,72.89583333333333,24.416666666666668,211.5,8.991666666666667,11.854166666666666,67.16666666666667,79.29166666666667
2025-06-06,65.8125,25.3875,197.25,8.575000000000001,11.825,68.875,78.04166666666667
2025-06-07,67.27083333333333,24.308333333333334,187.375,7.904166666666666,10.4,70.29166666666667,78.125
2025-06-08,53.30416666666667,21.95,194.0,7.708333333333333,10.495833333333334,75.75,72.45833333333333
2025-06-09,50.145833333333336,22.554166666666664,191.08333333333331,8.104166666666666,10.4375,71.125,73.45833333333333
2025-06-10,48.1875,20.77083333333333,196.45833333333331,7.070833333333333,9.775,71.29166666666667,68.83333333333333
2025-06-11,48.083333333333336,21.5375,199.83333333333331,7.541666666666667,10.495833333333334,70.04166666666667,69.875
2025-06-12,35.604166666666664,17.558333333333334,197.125,8.095833333333333,10.933333333333332,67.625,67.70833333333333
2025-06-13,52.88333333333333,20.1625,242.125,10.7,12.420833333333334,71.625,61.79166666666666
2025-06-14,105.69583333333333,31.058333333333334,308.8333333333333,13.820833333333333,14.579166666666666,77.125,77.25
2025-06-15,126.3625,34.050000000000004,339.3333333333333,15.8125,14.825,70.83333333333333,95.29166666666669
2025-06-16,117.09583333333336,40.54583333333333,339.5,27.64583333333333,27.73333333333333,74.91666666666667,106.41666666666669
2025-06-17,100.62083333333334,33.025,289.4583333333333,16.291666666666668,14.9875,70.875,107.04166666666669
2025-06-18,47.85833333333333,22.0,214.45833333333331,7.274999999999999,10.433333333333334,73.20833333333333,81.58333333333333
2025-06-19,48.395833333333336,20.3625,197.91666666666663,6.083333333333333,8.154166666666667,65.625,69.625
2025-06-20,50.9625,21.15833333333333,224.66666666666663,7.508333333333333,8.612499999999999,63.333333333333336,67.25
2025-06-21,43.6,20.054166666666667,226.25,8.362499999999999,9.966666666666669,61.91666666666666,69.375
